STATE	COUNTY	FIPS	CLS	PROP
Alabama	Autauga	01001	Cfa	1.000
Alabama	Baldwin	01003	Cfa	1.000
Alabama	Barbour	01005	Cfa	1.000
Alabama	Bibb	01007	Cfa	1.000
Alabama	Blount	01009	Cfa	1.000
Alabama	Bullock	01011	Cfa	1.000
Alabama	Butler	01013	Cfa	1.000
Alabama	Calhoun	01015	Cfa	1.000
Alabama	Chambers	01017	Cfa	1.000
Alabama	Cherokee	01019	Cfa	1.000
Alabama	Chilton	01021	Cfa	1.000
Alabama	Choctaw	01023	Cfa	1.000
Alabama	Clarke	01025	Cfa	1.000
Alabama	Clay	01027	Cfa	1.000
Alabama	Cleburne	01029	Cfa	1.000
Alabama	Coffee	01031	Cfa	1.000
Alabama	Colbert	01033	Cfa	1.000
Alabama	Conecuh	01035	Cfa	1.000
Alabama	Coosa	01037	Cfa	1.000
Alabama	Covington	01039	Cfa	1.000
Alabama	Crenshaw	01041	Cfa	1.000
Alabama	Cullman	01043	Cfa	1.000
Alabama	Dale	01045	Cfa	1.000
Alabama	Dallas	01047	Cfa	1.000
Alabama	De Kalb	01049	Cfa	1.000
Alabama	Elmore	01051	Cfa	1.000
Alabama	Escambia	01053	Cfa	1.000
Alabama	Etowah	01055	Cfa	1.000
Alabama	Fayette	01057	Cfa	1.000
Alabama	Franklin	01059	Cfa	1.000
Alabama	Geneva	01061	Cfa	1.000
Alabama	Greene	01063	Cfa	1.000
Alabama	Hale	01065	Cfa	1.000
Alabama	Henry	01067	Cfa	1.000
Alabama	Houston	01069	Cfa	1.000
Alabama	Jackson	01071	Cfa	1.000
Alabama	Jefferson	01073	Cfa	1.000
Alabama	Lamar	01075	Cfa	1.000
Alabama	Lauderdale	01077	Cfa	1.000
Alabama	Lawrence	01079	Cfa	1.000
Alabama	Lee	01081	Cfa	1.000
Alabama	Limestone	01083	Cfa	1.000
Alabama	Lowndes	01085	Cfa	1.000
Alabama	Macon	01087	Cfa	1.000
Alabama	Madison	01089	Cfa	1.000
Alabama	Marengo	01091	Cfa	1.000
Alabama	Marion	01093	Cfa	1.000
Alabama	Marshall	01095	Cfa	1.000
Alabama	Mobile	01097	Cfa	1.000
Alabama	Monroe	01099	Cfa	1.000
Alabama	Montgomery	01101	Cfa	1.000
Alabama	Morgan	01103	Cfa	1.000
Alabama	Perry	01105	Cfa	1.000
Alabama	Pickens	01107	Cfa	1.000
Alabama	Pike	01109	Cfa	1.000
Alabama	Randolph	01111	Cfa	1.000
Alabama	Russell	01113	Cfa	1.000
Alabama	Saint Clair	01115	Cfa	1.000
Alabama	Shelby	01117	Cfa	1.000
Alabama	Sumter	01119	Cfa	1.000
Alabama	Talladega	01121	Cfa	1.000
Alabama	Tallapoosa	01123	Cfa	1.000
Alabama	Tuscaloosa	01125	Cfa	1.000
Alabama	Walker	01127	Cfa	1.000
Alabama	Washington	01129	Cfa	1.000
Alabama	Wilcox	01131	Cfa	1.000
Alabama	Winston	01133	Cfa	1.000
Alaska	Aleutians East	02013	Dfc	0.586
Alaska	Aleutians East	02014	Cfc	0.183
Alaska	Aleutians East	02015	ET	0.167
Alaska	Aleutians West	02016	ET	0.356
Alaska	Aleutians West	02016	Cfc	0.432
Alaska	Anchorage	02020	Dsc	0.010
Alaska	Anchorage	02020	Dfc	0.961
Alaska	Anchorage	02020	ET	0.029
Alaska	Bethel	02050	Dfc	0.888
Alaska	Bethel	02050	ET	0.109
Alaska	Bristol Bay	02060	Dfc	1.000
Alaska	Denali	02068	Dfc	0.797
Alaska	Denali	02068	ET	0.203
Alaska	Dillingham	02070	Dfc	0.970
Alaska	Dillingham	02070	ET	0.030
Alaska	Fairbanks North Star	02090	Dfc	1.000
Alaska	Haines	02100	ET	0.246
Alaska	Haines	02100	Dfc	0.400
Alaska	Haines	02100	Dsc	0.354
Alaska	Juneau	02110	Dfc	0.923
Alaska	Juneau	02111	ET	0.077
Alaska	Kenai Peninsula	02122	ET	0.271
Alaska	Kenai Peninsula	02122	Dsc	0.143
Alaska	Kenai Peninsula	02122	Dfc	0.585
Alaska	Ketchikan Gateway	02130	Cfb	0.553
Alaska	Ketchikan Gateway	02130	Dfc	0.447
Alaska	Kodiak Island	02150	Dfc	0.732
Alaska	Kodiak Island	02150	ET	0.092
Alaska	Kodiak Island	02150	Cfc	0.149
Alaska	Lake and Peninsula	02164	Dfc	0.942
Alaska	Lake and Peninsula	02164	ET	0.057
Alaska	Matanuska-Susitna	02170	ET	0.289
Alaska	Matanuska-Susitna	02170	Dfc	0.678
Alaska	Matanuska-Susitna	02170	Dsc	0.033
Alaska	Nome	02180	Dfc	0.678
Alaska	Nome	02180	ET	0.316
Alaska	North Slope	02185	ET	0.793
Alaska	North Slope	02186	Dfc	0.136
Alaska	North Slope	02187	Dsc	0.069
Alaska	Northwest Arctic	02188	ET	0.465
Alaska	Northwest Arctic	02189	Dfc	0.534
Alaska	Prince of Wales-Outer Ketchi	02201	Cfb	0.654
Alaska	Prince of Wales-Outer Ketchi	02201	Dfc	0.342
Alaska	Prince of Wales-Outer Ketchi	02201	Cfc	0.004
Alaska	Sitka	02220	Dfc	0.512
Alaska	Sitka	02221	Cfc	0.488
Alaska	Skagway-Yakutat-Angoon	02232	ET	0.369
Alaska	Skagway-Yakutat-Angoon	02232	Dfc	0.599
Alaska	Skagway-Yakutat-Angoon	02232	Dsc	0.020
Alaska	Skagway-Yakutat-Angoon	02232	Cfc	0.007
Alaska	Skagway-Yakutat-Angoon	02232	Dfb	0.004
Alaska	Southeast Fairbanks	02240	Dfc	0.682
Alaska	Southeast Fairbanks	02240	ET	0.193
Alaska	Southeast Fairbanks	02240	Dsc	0.089
Alaska	Southeast Fairbanks	02240	Dwc	0.036
Alaska	Valdez-Cordova	02261	ET	0.424
Alaska	Valdez-Cordova	02261	Dsc	0.024
Alaska	Valdez-Cordova	02261	Dfc	0.547
Alaska	Valdez-Cordova	02261	Dwc	0.003
Alaska	Wade Hampton	02270	Dfc	0.997
Alaska	Wrangell-Petersburg	02280	Dfc	0.389
Alaska	Wrangell-Petersburg	02281	Dfb	0.274
Alaska	Wrangell-Petersburg	02282	ET	0.036
Alaska	Wrangell-Petersburg	02283	Cfb	0.300
Alaska	Yukon-Koyukuk	02290	ET	0.103
Alaska	Yukon-Koyukuk	02290	Dfc	0.840
Alaska	Yukon-Koyukuk	02290	Dsc	0.058
Arizona	Apache	04001	BSk	0.767
Arizona	Apache	04001	Cfb	0.061
Arizona	Apache	04001	Csb	0.172
Arizona	Cochise	04003	BSk	1.000
Arizona	Coconino	04005	BSk	0.687
Arizona	Coconino	04005	Csa	0.164
Arizona	Coconino	04005	Csb	0.150
Arizona	Gila	04007	Csa	0.838
Arizona	Gila	04007	BSk	0.160
Arizona	Gila	04007	BSh	0.002
Arizona	Graham	04009	Csb	0.030
Arizona	Graham	04009	BSk	0.970
Arizona	Greenlee	04011	Csb	0.742
Arizona	Greenlee	04011	BSk	0.258
Arizona	La Paz	04012	BWh	0.960
Arizona	La Paz	04012	BSh	0.040
Arizona	Maricopa	04013	BSk	0.046
Arizona	Maricopa	04013	Csa	0.001
Arizona	Maricopa	04013	BWh	0.639
Arizona	Maricopa	04013	BSh	0.314
